-0.337891 0.00018569
-0.333984 -0.000420166
-0.330078 -0.00107473
-0.326172 -0.00180248
-0.322266 -0.00250566
-0.318359 -0.00308455
-0.314453 -0.00352656
-0.310547 -0.00386679
-0.310547 -0.00386679
-0.306641 -0.0041995
-0.302734 -0.00461398
-0.298828 -0.0051729
-0.294922 -0.00584418
-0.291016 -0.00652941
-0.283203 -0.00760995
-0.287109 -0.007136
-0.283203 -0.00760995
-0.279297 -0.00795834
-0.275391 -0.00820221
-0.279297 -0.00795834
-0.271484 -0.00845212
-0.267578 -0.00875369
-0.263672 -0.00908461
-0.259766 -0.00939859
-0.255859 -0.00966478
-0.251953 -0.00988129
-0.248047 -0.0100564
-0.244141 -0.0102143
-0.240234 -0.0103839
-0.236328 -0.0105957
-0.232422 -0.0108885
-0.228516 -0.0113024
-0.224609 -0.0119086
-0.224609 -0.0119086
-0.220703 -0.0126079
-0.216797 -0.013323
-0.212891 -0.0140358
-0.208984 -0.0146871
-0.205078 -0.0151886
-0.201172 -0.0154459
-0.197266 -0.0153919
-0.193359 -0.0150201
-0.189453 -0.0143728
-0.185547 -0.013421
-0.181641 -0.0122259
-0.181641 -0.0122259
-0.177734 -0.0110685
-0.173828 -0.00942124
-0.169922 -0.00788675
-0.169922 -0.00788675
-0.166016 -0.0066467
-0.162109 -0.00479921
-0.158203 -0.00345847
-0.158203 -0.00345847
-0.154297 -0.0019159
-0.150391 -0.000390541
-0.130859 5.53995e-05
-0.126953 -0.00267297
-0.126953 -0.00267297
-0.123047 -0.00476786
-0.123047 -0.00476786
-0.119141 -0.00454034
-0.115234 -0.00382135
-0.115234 -0.00382135
-0.111328 -0.00299274
-0.107422 -0.00205999
-0.103516 -0.00092378
-0.0996094 -2.14212e-05
-0.498047 0.0156051
-0.498047 0.0156051
-0.494141 0.0162554
-0.490234 0.0169528
-0.486328 0.0173542
-0.476612 0.00976562
-0.473815 0.00976562
-0.474609 0.0141984
-0.473815 0.00976562
-0.468891 0.0136719
-0.482422 0.017023
-0.478516 0.0165746
-0.474609 0.0141984
-0.471054 0.0166676
-0.466797 0.00818856
-0.462891 0.00726804
-0.466797 0.00818856
-0.468891 0.0136719
-0.458984 0.0069779
-0.455078 0.00693812
-0.451172 0.00694303
-0.447266 0.00703159
-0.443359 0.00726841
-0.439453 0.00766205
-0.439453 0.00766205
-0.435547 0.0081775
-0.431641 0.00895195
-0.427734 0.0101423
-0.423828 0.0113842
-0.419922 0.0120977
-0.416016 0.0129099
-0.412109 0.0137348
-0.408203 0.0145233
-0.404297 0.01518
-0.400391 0.015506
-0.396484 0.015316
-0.390779 0.011593
-0.392578 0.014137
-0.396484 0.015316
-0.388672 0.0108716
-0.388672 0.0108716
-0.384766 0.00882481
-0.380859 0.0078097
-0.376953 0.00712943
-0.380859 0.0078097
-0.373047 0.00646769
-0.369141 0.00568352
-0.365234 0.0047826
-0.361328 0.00379261
-0.361328 0.00379261
-0.357422 0.00287315
-0.353516 0.00210639
-0.349609 0.00152488
-0.345703 0.00107338
-0.341797 0.00063619
-0.337891 0.00018569
-0.150391 -0.000390541
-0.146484 0.00040667
-0.142578 0.00114153
-0.138672 0.00153829
-0.134766 0.00134752
-0.130859 5.53995e-05
-0.0996094 -2.14212e-05
-0.0957031 0.000639558
-0.0917969 0.00127318
-0.0878906 0.00197278
-0.0839844 0.00297936
-0.0800781 0.00414109
-0.0800781 0.00414109
-0.0761719 0.00535225
-0.0722656 0.00639638
-0.0683594 0.00713703
-0.0644531 0.00767327
-0.0644531 0.00767327
-0.0605469 0.00802177
-0.0566406 0.00831342
-0.0527344 0.00837458
-0.0488281 0.0082348
-0.0449219 0.00817212
-0.0410156 0.00825436
-0.0371094 0.00842504
-0.0332031 0.00878809
-0.0292969 0.00944155
-0.0253906 0.0103581
-0.0214844 0.0113983
-0.0214844 0.0113983
-0.0175781 0.0122718
-0.0136719 0.0132389
-0.00976562 0.0142012
-0.00585938 0.015207
-0.00585938 0.015207
-0.00195312 0.0159761
0.134766 0.000366537
0.138672 -0.000506337
0.142578 -0.00115511
0.146484 -0.00169787
0.150391 -0.00222208
0.154297 -0.00277409
0.158203 -0.00339305
0.162109 -0.00404213
0.162109 -0.00404213
0.166016 -0.0046662
0.169922 -0.00522449
0.173828 -0.00578011
0.177734 -0.00632545
0.181641 -0.00683329
0.185547 -0.00733139
0.189453 -0.00790668
0.193359 -0.00854729
0.189453 -0.00790668
0.197266 -0.00918498
0.201172 -0.00981897
0.205078 -0.010406
0.208984 -0.0108875
0.212891 -0.0112483
0.216797 -0.0115144
0.220703 -0.0117377
0.220703 -0.0117377
0.224609 -0.0119902
0.228516 -0.0122832
0.232422 -0.012619
0.236328 -0.0129748
0.240234 -0.0133029
0.244141 -0.0135535
0.248047 -0.0137184
0.251953 -0.0138388
0.255859 -0.013977
0.259766 -0.0141817
0.263672 -0.0144863
0.271484 -0.0154096
0.275391 -0.0160125
0.279297 -0.0165525
0.267578 -0.0149036
0.271484 -0.0154096
0.283203 -0.0170329
0.287109 -0.0174658
0.291016 -0.0178487
0.294922 -0.0181475
0.298828 -0.0182993
0.302734 -0.0182389
0.306641 -0.0179252
0.310547 -0.0173276
0.314453 -0.0164431
0.318359 -0.0154443
0.318359 -0.0154443
0.322266 -0.0142209
0.326172 -0.0128087
0.330078 -0.0117733
0.330078 -0.0117733
0.333984 -0.0107956
0.337891 -0.00897574
0.341797 -0.00770898
0.341797 -0.00770898
0.345703 -0.00665393
0.349609 -0.00536473
0.353516 -0.00413785
0.353516 -0.00413785
